card_id,edition,card_text
1,1,Abandon normal instruments
2,1,Accept advice
3,1,Accretion
4,1,A line has two sides
5,1,Allow an easement (an easement is the abandonment of a stricture)
6,1,Are there sections? Consider transitions
7,1,Ask people to work against their better judgement
8,1,Ask your body
9,1,Assemble some of the instruments in a group and treat the group
10,1,Balance the consistency principle with the inconsistency principle
11,1,Be dirty
12,1,Breathe more deeply
13,1,Bridges -build -burn
14,1,Cascades
15,1,Change instrument roles
16,1,Change nothing and continue with immaculate consistency
17,1,Children's voices -speaking -singing
18,1,Cluster analysis
19,1,Consider different fading systems
20,1,Consult other sources -promising -unpromising
21,1,Convert a melodic element into a rhythmic element
22,1,Courage!
23,1,Cut a vital connection
24,1,"Decorate, decorate"
25,1,Define an area as 'safe' and use it as an anchor
26,1,Destroy - nothing - the most important thing
27,1,Discard an axiom
28,1,Disconnect from desire
29,1,Discover the recipes you are using and abandon them
30,1,Distorting time
31,1,Do nothing for as long as possible
32,1,Don't be afraid of things because they're easy to do
33,1,Don't be frightened of cliches
34,1,Don't be frightened to display your talents
35,1,Don't break the silence
36,1,Don't stress one thing more than another
37,1,Do something boring
38,1,Do the washing up
39,1,Do the words need changing?
40,1,Do we need holes?
41,1,Emphasise differences
42,1,Emphasise repetitions
43,1,Emphasise the flaws
44,1,"Faced with a choice, do both (given by Dieter Rot)"
45,1,Feedback recordings into an acoustic situation
46,1,Fill every beat with something
47,1,Get your neck massaged
48,1,Ghost echoes
49,1,Give the game away
50,1,Give way to your worst impulse
51,1,Go slowly all the way round the outside
52,1,Honor thy error as a hidden intention
53,1,How would you have done it?
54,1,Humanise something free of error
55,1,Imagine the music as a moving chain or caterpillar
56,1,Imagine the music as a set of disconnected events
57,1,Infinitesimal gradations
58,1,Intentions -credibility of -nobility of -humility of
59,1,Into the impossible
60,1,Is it finished?
61,1,Is there something missing?
62,1,Is the tuning appropriate?
63,1,Just carry on
64,1,"Left channel, right channel, centre channel"
65,1,"Listen in total darkness, or in a very large room, very quietly"
66,1,Listen to the quiet voice
67,1,"Look at a very small object, look at its centre"
68,1,Look at the order in which you do things
69,1,Look closely at the most embarrassing details and amplify them
70,1,Lowest common denominator check -single beat -single note -single riff
71,1,Make a blank valuable by putting it in an exquisite frame
72,1,Make an exhaustive list of everything you might do and do the last thing on the list
73,1,"Make a sudden, destructive unpredictable action; incorporate"
74,1,Mechanicalise something idiosyncratic
75,1,Mute and continue
76,1,Only one element of each kind
77,1,(Organic) machinery
78,1,Overtly resist change
79,1,Put in earplugs
80,1,Remember. those quiet evenings
81,1,Remove ambiguities and convert to specifics
82,1,Remove specifics and convert to ambiguities
83,1,Repetition is a form of change
84,1,Reverse
85,1,Short circuit (example; a man eating peas with the idea that they will improve his virility shovels them straight into his lap)
86,1,Shut the door and listen from outside
87,1,Simple subtraction
88,1,Spectrum analysis
89,1,Take a break
90,1,Take away the elements in order of apparent non-importance
91,1,Tape your mouth (given by Ritva Saarikko)
92,1,The inconsistency principle
93,1,The tape is now the music
94,1,Think of the radio
95,1,Tidy up
96,1,Trust in the you of now
97,1,Turn it upside down
98,1,Twist the spine
99,1,Use an old idea
100,1,Use an unacceptable colour
101,1,Use fewer notes
102,1,Use filters
103,1,Use 'unqualified' people
104,1,Water
105,1,What are you really thinking about just now? Incorporate
106,1,What is the reality of the situation?
107,1,What mistakes did you make last time?
108,1,What would your closest friend do?
109,1,What wouldn't you do?
110,1,Work at a different speed
111,1,You are an engineer
112,1,You can only make one dot at a time
113,1,You don't have to be ashamed of using your own ideas
114,1,[blank white card]
115,2,Abandon normal instruments
116,2,Accept advice
117,2,Accretion
118,2,A line has two sides
119,2,Allow an easement (an easement is the abandonment of a stricture)
120,2,Always first steps
121,2,Always give yourself credit for having more than personality (given by Arto Lindsay)
122,2,Are there sections? Consider transitions
123,2,Ask people to work against their better judgement
124,2,Ask your body
125,2,Assemble some of the instruments in a group and treat the group
126,2,A very small object -Its centre
127,2,Balance the consistency principle with the inconsistency principle
128,2,Be dirty
129,2,Be extravagant
130,2,Breathe more deeply
131,2,Bridges -build -burn
132,2,Cascades
133,2,Change instrument roles
134,2,Change nothing and continue with immaculate consistency
135,2,Children's voices -speaking -singing
136,2,Cluster analysis
137,2,Consider different fading systems
138,2,Consult other sources -promising -unpromising
139,2,Convert a melodic element into a rhythmic element
140,2,Courage!
141,2,Cut a vital connection
142,2,"Decorate, decorate"
143,2,Define an area as 'safe' and use it as an anchor
144,2,Destroy - nothing - the most important thing
145,2,Discard an axiom
146,2,Disciplined self-indulgence
147,2,Disconnect from desire
148,2,Discover the recipes you are using and abandon them
149,2,Distorting time
150,2,Do nothing for as long as possible
151,2,Don't be afraid of things because they're easy to do
152,2,Don't be frightened of cliches
153,2,Don't be frightened to display your talents
154,2,Don't break the silence
155,2,Don't stress *on* thing more than another (sic)
156,2,Do something boring
157,2,Do the washing up
158,2,Do the words need changing?
159,2,Do we need holes?
160,2,Emphasise differences
161,2,Emphasise repetitions
162,2,Emphasise the flaws
163,2,"Faced with a choice, do both (given by Dieter Rot)"
164,2,Feed the recording back out of the medium
165,2,Fill every beat with something
166,2,Get your neck massaged
167,2,Ghost echoes
168,2,Give the game away
169,2,Give way to your worst impulse
170,2,Go outside. Shut the door.
171,2,Go slowly all the way round the outside
